iter,ns,epot,ekin,etot,T,ext_force_x_atom0,ext_force_x_atom1026,molecular_extension,t
345000,0.345,[-1331.0765941143036],[976.34509277],[-354.73150134],[318.9348914],0.7750369906425476,-0.9784820675849915,4.5064849853515625,8415.74700164795
350000,0.35,[-893.9318125247955],[957.86132812],[63.9295156],[312.89694691],0.8931674957275391,-1.166680932044983,3.81695556640625,8533.004900693893
355000,0.355,[-921.4480333328247],[1019.98950195],[98.54146862],[333.19186366],0.4870414733886719,-0.8627330660820007,5.668434143066406,8650.059744119644
360000,0.36,[-881.6678359508514],[1025.89074707],[144.22291112],[335.1195765],0.5594989657402039,-0.7796098589897156,5.771392345428467,8766.898927688599
365000,0.365,[-900.9305535554886],[1020.23059082],[119.30003726],[333.27061824],0.8021251559257507,-0.9399124383926392,4.840364456176758,8884.580950737
370000,0.37,[-760.2922998666763],[992.17169189],[231.87939203],[324.10484075],0.4893333613872528,-0.92238849401474,5.742447853088379,9001.558127641678
375000,0.375,[-1036.4608495235443],[1009.09643555],[-27.36441398],[329.63351224],0.40104714035987854,-0.5719619989395142,6.915523529052734,9118.98991060257
380000,0.38,[-1053.0833053588867],[1014.69116211],[-38.39214325],[331.46109709],0.6487880945205688,-0.6784313321113586,6.106291770935059,9235.417788028717
385000,0.385,[-1047.8769570589066],[1066.83422852],[18.95727146],[348.49425816],0.558444619178772,-0.4333457946777344,7.021158218383789,9351.593918323517
390000,0.38999999999999996,[-954.0952082872391],[1015.50878906],[61.41358078],[331.72818479],0.7844135165214539,-0.2456638365983963,7.001734733581543,9468.453817367554
395000,0.39499999999999996,[-519.5135460793972],[1058.0612793],[538.54773322],[345.62846857],0.5739395022392273,-0.22863101959228516,7.646795749664307,9584.576957464218
400000,0.39999999999999997,[-851.1027701497078],[1015.7991333],[164.69636315],[331.82302924],0.2740642726421356,-0.7019869089126587,7.289388179779053,9700.73421883583
405000,0.40499999999999997,[-1215.4962869882584],[980.47827148],[-235.0180155],[320.28504404],0.7103958129882812,-0.6149574518203735,6.492426872253418,9815.971291065216
410000,0.41,[-1317.2032602727413],[998.40472412],[-318.79853615],[326.14093584],0.534167468547821,-0.31725388765335083,7.7535505294799805,9931.141548395157
415000,0.415,[-1185.7533036470413],[1000.13592529],[-185.61737835],[326.70645357],0.25861167907714844,-0.9703564047813416,6.885977745056152,10046.086835622787
420000,0.42,[-1118.694758951664],[989.07019043],[-129.62456852],[323.09169791],0.005742263980209827,-0.7562570571899414,8.129693984985352,10161.028475284576
425000,0.425,[-1035.6762883476913],[1052.65844727],[16.98215892],[343.86356837],-0.175669863820076,-0.049715232104063034,10.425872802734375,10276.329184293747
430000,0.43,[-1198.0401661545038],[966.08294678],[-231.95721938],[315.58263773],-0.08409347385168076,0.09646816551685333,10.638683319091797,10391.683098316193
435000,0.435,[-1380.7627711594105],[1018.09191895],[-362.67085221],[332.5719953],0.2294994443655014,-0.06634216755628586,9.523969650268555,10506.924629688263
440000,0.44,[-1382.2674955427647],[1011.54125977],[-370.72623578],[330.43214353],0.5703533291816711,0.1352531462907791,9.252117156982422,10621.605067968369
445000,0.445,[-878.7545852661133],[995.43139648],[116.67681122],[325.16966254],0.7796432375907898,0.49133673310279846,9.695395469665527,10736.712838411331
450000,0.44999999999999996,[-1254.2192888259888],[996.31762695],[-257.90166187],[325.4591604],1.0021885633468628,0.46723031997680664,9.155059814453125,10851.389896392822
455000,0.45499999999999996,[-995.2475018501282],[1031.53955078],[36.29204893],[336.96482631],0.7494037747383118,0.5925507545471191,10.176616668701172,10966.204285860062
460000,0.45999999999999996,[-871.7015981674194],[1013.54199219],[141.84039402],[331.08570689],0.5368213653564453,0.7289953231811523,11.125478744506836,11081.308592796326
465000,0.46499999999999997,[-814.4282101392746],[1022.34606934],[207.9178592],[333.9616648],0.47615930438041687,0.5553560256958008,10.919328689575195,11196.532222747803
470000,0.47,[-1154.1169901490211],[967.85229492],[-186.26469523],[316.16061663],0.6562606692314148,0.27752047777175903,9.850780487060547,11311.798450231552
475000,0.475,[-1142.0011081546545],[972.10388184],[-169.89722632],[317.54944873],0.12214546650648117,-0.204768568277359,10.056640625,11427.211548089981
480000,0.48,[-615.055293045938],[980.77746582],[365.72217277],[320.38277948],-0.2613804042339325,-0.0070438385009765625,11.586060523986816,11540.837933540344
485000,0.485,[-498.83347338438034],[1036.0246582],[537.19118482],[338.4299407],0.41165199875831604,0.09129543602466583,10.225622177124023,11655.102786779404
490000,0.49,[-1218.549137890339],[995.81591797],[-222.73321992],[325.29527111],0.7769622802734375,0.1542753279209137,9.546089172363281,11769.590236902237
495000,0.495,[-885.5097023248672],[1040.08544922],[154.57574689],[339.75644703],0.5369148254394531,-0.05026226118206978,9.711158752441406,11883.94409584999
500000,0.5,[-1108.510180592537],[1003.6673584],[-104.84282219],[327.86003875],0.4228355586528778,-0.08837699890136719,9.977363586425781,11998.990568637848
505000,0.505,[-1071.7893331944942],[1033.16308594],[-38.62624726],[337.49517364],0.4768112301826477,-0.16008320450782776,9.739452362060547,12113.650300502777
510000,0.51,[-958.6950979828835],[1037.49719238],[78.8020944],[338.91096174],-0.07380294799804688,-0.5200578570365906,10.29234504699707,12228.126032352448
515000,0.515,[-924.8118404150009],[1022.6229248],[97.81108439],[334.05210297],-0.09765052795410156,-0.8959072232246399,9.488635063171387,12342.350934505463
520000,0.52,[-1241.0598096847534],[1011.56848145],[-229.49132824],[330.44103582],0.20218276977539062,-0.5792571902275085,9.60697078704834,12456.420918941498
525000,0.525,[-328.1618070602417],[1045.95996094],[717.79815388],[341.67542708],0.10784530639648438,-0.42616501450538635,10.301838874816895,12570.273791790009
530000,0.53,[-1078.7035736441612],[1002.80224609],[-75.90132755],[327.57743939],0.45529863238334656,-0.33957138657569885,9.725983619689941,12684.765088558197
535000,0.535,[-904.1252379119396],[1005.52386475],[101.39862683],[328.46648893],0.2641918361186981,-0.33936500549316406,10.280560493469238,12799.530545949936
540000,0.5399999999999999,[-1334.5962775833905],[999.24572754],[-335.35055004],[326.41565974],0.11206092685461044,-0.13951949775218964,11.236795425415039,12914.066500663757
545000,0.5449999999999999,[-813.9091319032013],[1029.6583252],[215.74919329],[336.3503013],0.03207435831427574,-0.15970230102539062,11.462599754333496,13028.770415782928
550000,0.5499999999999999,[-1451.999933257699],[956.16259766],[-495.8373356],[312.34203613],0.250457763671875,0.3103904724121094,12.168167114257812,13142.948061227798
555000,0.5549999999999999,[-1090.013579249382],[982.05664062],[-107.95693862],[320.80063734],-0.0047203064896166325,-0.6583126187324524,10.460648536682129,13257.685702562332
560000,0.5599999999999999,[-829.7630836367607],[986.68261719],[156.91953355],[322.31176834],0.7612895965576172,0.09665708988904953,10.509342193603516,13372.485537052155
565000,0.565,[-1248.2562800645828],[1001.56213379],[-246.69414628],[327.17234176],0.7313224673271179,-0.12857170403003693,10.097481727600098,13487.019298315048
570000,0.57,[-950.9080356359482],[1014.23046875],[63.32243311],[331.31060606],0.6903102993965149,-0.5092306137084961,9.32465934753418,13601.459964990616
